commune	N	S	R	G	A	M
FLORES_Y_SAAVEDRA	COMBARBALA	103	0.271844660194175	0.805825242718447	0.246461574453154	0.533980582524272	0.242718446601942
FUNDIDA_NORTE	RIO HURTADO	51	0.450980392156863	0.96078431372549	0.146858743497399	0.627450980392157	0.137254901960784
FUNDIDA_SUR	RIO HURTADO	90	0.333333333333333	1.03333333333333	0.0311827956989248	0.588888888888889	0
GUALLIGUAICA	VICUÑA	62	0.451612903225806	1	0	0.564516129032258	0
HIGUERITAS_UNIDAS	OVALLE	41	0.75609756097561	0.975609756097561	0.115243902439026	0.585365853658537	0.0975609756097561
HUAMPULLA	RIO HURTADO	27	0.407407407407407	0.666666666666667	0.29835390946502	0.666666666666667	0.407407407407407
HUANA	MONTE PATRIA	104	0.451923076923077	0.894230769230769	0.120657568238208	0.605769230769231	0.153846153846154
HUAPILLAS_MOLLAQUITAS	RIO HURTADO	15	0.666666666666667	1	0	0.733333333333333	0
HUASCOALTINOS	ALTO DEL CARMEN	260	0.326923076923077	1.00384615384615	0.00381668140288127	0.815384615384615	0
HUENTELAUQUEN	CANELA	377	0.23342175066313	0.909814323607427	0.165895141686832	0.519893899204244	0.148541114058355
HUINCHIGUALLEGO	CANELA	37	0.351351351351351	1	0	0.486486486486487	0
INGA_PICHASCA	RIO HURTADO	86	0.255813953488372	0.86046511627907	0.224072910119421	0.627906976744186	0.209302325581395
JARA_O_LAJA	MONTE PATRIA	82	0.414634146341463	0.963414634146341	0.128125964803949	0.609756097560976	0.0975609756097561
JARILLA_Y_AZOGUE	ANDACOLLO	28	0.571428571428571	1	0	0.678571428571429	0
JIMENEZ_Y_TAPIA	COMBARBALA	1712	0.106892523364486	1.0017523364486	0.0375550053132656	0.542640186915888	0.0216121495327103
LAGUNA_VERDE	MONTE PATRIA	10	0.8	1	0	0.5	0
LAGUNILLAS_GALLEGUILLOS_DEL_VALLE	OVALLE	33	0.666666666666667	0.757575757575758	0.230545454545455	0.424242424242424	0.333333333333333
LAS_BARRANCAS	CANELA	39	0.41025641025641	1.02564102564103	0.0243589743589752	0.717948717948718	0
LAS_BATEAS	MONTE PATRIA	13	0.461538461538462	1	0	0.615384615384615	0
LAS_CARDAS	MONTE PATRIA	106	0.311320754716981	0.886792452830189	0.131272581292649	0.5	0.150943396226415
LAS_DAMAS	OVALLE	20	0.45	1.05	0.0452380952380951	0.75	0
LAS_MINILLAS	RIO HURTADO	32	0.5	1	0	0.5625	0
LAS_PAREDES	CANELA	18	0.666666666666667	1	0	0.666666666666667	0
LAS_ROJAS_DE_CUTUN	LA SERENA	43	0.534883720930233	0.906976744186047	0.0906380441264165	0.558139534883721	0.116279069767442
LAS_TAZAS	CANELA	41	0.560975609756098	1	0	0.609756097560976	0
LAS_TRANCAS_DE_PUCLARO	VICUÑA	17	0.470588235294118	1.05882352941176	0.0522875816993471	0.705882352941177	0
LA_CALERA	OVALLE	318	0.20125786163522	0.387185534591195	0.523968875072832	0.537735849056604	0.732704402515723
LA_CAPILLA	CANELA	32	0.40625	1	0	0.65625	0
LA_CEBADA	OVALLE	100	0.39	1.005	0.3081592039801	0.45	0.27
LA_CISTERNA	MONTE PATRIA	64	0.484375	1.015625	0.0151442307692307	0.53125	0
LA_COIPA	OVALLE	124	0.193548387096774	0.3	0.599698767817916	0.483870967741935	0.82258064516129
LA_COLORADA_DE_AGUILERA_Y_SARMIENTO	COMBARBALA	54	0.37037037037037	0.814814814814815	0.173400673400671	0.666666666666667	0.240740740740741
LA_HERRADURA	COQUIMBO	136	0.441176470588235	1	7.105427357601e-15	0.713235294117647	0
LA_HOYADA	RIO HURTADO	22	0.318181818181818	0.777272727272727	0.420255183413079	0.590909090909091	0.454545454545455
LA_LEONA	CANELA	22	0.318181818181818	1	0	0.681818181818182	0
LA_ORTIGA	MONTE PATRIA	70	0.4	1	0	0.528571428571429	0
LA_PLATA	VICUÑA	31	0.387096774193548	1	0	0.67741935483871	0
LA_POLVADA	VICUÑA	136	0.147058823529412	1	7.105427357601e-15	0.522058823529412	0
LA_SAUCERA	COMBARBALA	31	0.193548387096774	1.06451612903226	0.0566959921798631	0.645161290322581	0
LA_TRANQUITA	MONTE PATRIA	22	0.409090909090909	0.590909090909091	0.377622377622378	0.318181818181818	0.454545454545455
LA_VERDIONA	OVALLE	88	0.261363636363636	0.363636363636364	0.536440925802138	0.522727272727273	0.727272727272727
LITIPAMPA	COMBARBALA	39	0.461538461538462	1	0	0.564102564102564	0
LORENZO_ARAYA	OVALLE	33	0.363636363636364	1	0	0.575757575757576	0
LORENZO_PERALTA_DE_PUNILLA	OVALLE	22	0.727272727272727	0.954545454545455	0.0432900432900434	0.545454545454545	0.0909090909090909
LOS_ALGODONES	VICUÑA	29	0.413793103448276	1	0	0.517241379310345	0
LOS_ANGELES	MONTE PATRIA	38	0.473684210526316	1.05263157894737	0.0473684210526315	0.5	0
LOS_CERRILLOS	LOS VILOS	27	0.296296296296296	1	0	0.555555555555556	0
LOS_CHOROS	LA HIGUERA	202	0.599009900990099	0.907590759075908	0.278046804680464	0.668316831683168	0.242574257425743
LOS_CLONQUIS	MONTE PATRIA	80	0.4	0.825	0.228219696969699	0.5125	0.2375
LOS_HOYOS_Y_EL_EMPEDRADO	MONTE PATRIA	28	0.5	1.03571428571429	0.0332512315270925	0.571428571428571	0
LOS_LAVADEROS	RIO HURTADO	17	0.411764705882353	0.764705882352941	0.252100840336134	0.588235294117647	0.294117647058824
LOS_MAITENES	RIO HURTADO	48	0.354166666666667	0.5625	0.44212962962963	0.5	0.520833333333333
LOS_MAITENES_DE_SERON	RIO HURTADO	34	0.264705882352941	0.617647058823529	0.35874349739896	0.588235294117647	0.441176470588235
LOS_MORALES	MONTE PATRIA	60	0.383333333333333	1.48333333333333	0.317041198501874	0.75	0.0166666666666667
LOS_MOZOS	COMBARBALA	12	0.666666666666667	1.41666666666667	0.17156862745098	0.75	0
LOS_POZOS	OVALLE	18	0.666666666666667	1.38888888888889	0.273333333333333	0.666666666666667	0.0555555555555556
LOS_TAPIAS	MONTE PATRIA	26	0.5	1.34615384615385	0.207692307692308	0.615384615384615	0
LOS_TOMES	CANELA	19	0.578947368421053	1	0	0.736842105263158	0
LOS_TRIGOS	OVALLE	100	0.17	1.09	0.224587155963302	0.52	0.12
MAJADA_BLANCA	COQUIMBO	24	0.583333333333333	1	0	0.875	0
MANQUEHUA	COMBARBALA	951	0.150368033648791	0.948475289169295	0.217669041591989	0.549947423764458	0.170347003154574
MAQUI_LOS_PALQUIS	MONTE PATRIA	39	0.333333333333333	0.798076923076923	0.194624652455978	0.666666666666667	0.230769230769231
MIALQUI	MONTE PATRIA	73	0.465753424657534	0.876712328767123	0.119648972602739	0.643835616438356	0.150684931506849
MINCHA_NORTE	CANELA	75	0.453333333333333	1	0	0.626666666666667	0
MINCHA_SUR	CANELA	130	0.292307692307692	1.00769230769231	0.00757486788020856	0.592307692307692	0
MONTE_PATRIA	MONTE PATRIA	472	0.169491525423729	0.688559322033898	0.297345646820219	0.49364406779661	0.411016949152542
MOVILO	COMBARBALA	30	0.566666666666667	0.933333333333333	0.0642857142857132	0.533333333333333	0.1
OLLA_DE_CALDERA	LA SERENA	225	0.36	1.02222222222222	0.13820289855073	0.768888888888889	0.0844444444444444
ORURO	OVALLE	85	0.329411764705882	0.635294117647059	0.343028322440087	0.541176470588235	0.423529411764706
PEJERREYES	MONTE PATRIA	21	0.523809523809524	1	0	0.714285714285714	0
PIEDRAS_BLANCAS	RIO HURTADO	10	0.8	1	0	1	0
PIEDRA_LISA	MONTE PATRIA	33	0.696969696969697	1.03030303030303	0.0285204991087351	0.636363636363636	0
POTRERILLO_ALTO	OVALLE	145	0.255172413793103	0.303448275862069	0.536420547842962	0.6	0.820689655172414
PULPICA_ALTO	MONTE PATRIA	87	0.275862068965517	1	0	0.471264367816092	0
PULPICA_BAJO	MONTE PATRIA	16	0.6875	1	0	0.6875	0
PUNITAQUI	PUNITAQUI	1062	0.153483992467043	0.864406779661017	0.18388793718816	0.555555555555556	0.19774011299435
QUEBRADA_DE_COLLIGUACITO	MONTE PATRIA	12	0.916666666666667	1	0	0.833333333333333	0
QUEBRADA_DE_PAIHUANO_Y_SAN_ANDRES	PAIHUANO	38	0.421052631578947	1	0	0.526315789473684	0
QUEBRADA_DE_TALCA	LA SERENA	131	0.412213740458015	0.748091603053435	0.24372955288986	0.625954198473282	0.290076335877863
QUEBRADA_DE_TULAHUEN	MONTE PATRIA	35	0.428571428571429	1	0	0.714285714285714	0
QUEBRADA_HONDA	LA HIGUERA	59	0.576271186440678	1	0	0.491525423728814	0
QUEBRADA_LAS_MINILLAS	MONTE PATRIA	29	0.413793103448276	0.689655172413793	0.294827586206896	0.379310344827586	0.344827586206897
QUEBRADA_LAS_MOLLACAS	MONTE PATRIA	26	0.730769230769231	1	0	0.5	0
QUEBRADA_LA_ARENA	MONTE PATRIA	6	0.833333333333333	1	0	0.5	0
QUEBRADA_LOS_LOROS	VICUÑA	14	0.571428571428571	1.57142857142857	0.331168831168831	0.714285714285714	0
QUITALLACO	COQUIMBO	24	0.625	1.04166666666667	0.0383333333333331	0.583333333333333	0
RAMADILLA	MONTE PATRIA	27	0.37037037037037	0.62962962962963	0.348583877995642	0.444444444444444	0.407407407407407
RAPEL	MONTE PATRIA	74	0.472972972972973	0.864864864864865	0.233530405405407	0.472972972972973	0.202702702702703
RAPELCILLO	MONTE PATRIA	22	0.590909090909091	1	0	0.636363636363636	0
RINCONADA_DE_PUNITAQUI	PUNITAQUI	173	0.208092485549133	1.23699421965318	0.319881872040042	0.554913294797688	0.254335260115607
RIO_COLORADO	MONTE PATRIA	64	0.359375	1	0	0.5625	0
ROMERALCILLO	OVALLE	54	0.444444444444444	0.89031339031339	0.283348148148148	0.62962962962963	0.222222222222222
SALALA	OVALLE	148	0.236486486486486	0.939189189189189	0.124392377989494	0.540540540540541	0.121621621621622
SAN_ISIDRO	VICUÑA	22	0.818181818181818	1	0	0.681818181818182	0
SAN_LORENZO	COMBARBALA	86	0.325581395348837	0.965116279069767	0.0572989632950396	0.63953488372093	0.0581395348837209
SOCOS	OVALLE	28	0.464285714285714	1	0	0.571428571428571	0
TOTORAL	COPIAPO	138	0.22463768115942	1	0	0.485507246376812	0
TOTORALILLO	COQUIMBO	119	0.218487394957983	1.22689075630252	0.40095529920692	0.495798319327731	0.369747899159664
TUNGA_NORTE	ILLAPEL	130	0.430769230769231	0.992307692307692	0.0549990061617933	0.715384615384615	0.0384615384615385
TUNGA_SUR	ILLAPEL	171	0.368421052631579	0.91812865497076	0.146683055834913	0.608187134502924	0.146198830409357
UCHUMI-DIAGUITAS	VICUÑA	35	0.685714285714286	1	0	0.742857142857143	0
VADO_HONDO	MONTE PATRIA	41	0.463414634146341	0.902439024390244	0.094924192485168	0.51219512195122	0.121951219512195
VALDIVIA_DE_PUNILLA	OVALLE	59	0.440677966101695	0.847457627118644	0.228983050847457	0.508474576271186	0.23728813559322
VALLECITO_Y_RIO_SECO	VICUÑA	19	0.473684210526316	1	0	0.684210526315789	0
VARILLAR	VICUÑA	21	0.666666666666667	1	0	0.857142857142857	0
VIVANCO	COMBARBALA	38	0.684210526315789	1.05263157894737	0.0473684210526315	0.552631578947368	0
YERBA_LOCA	CANELA	54	0.537037037037037	1	0	0.740740740740741	0
